user,date,tweet
Iyi_segun,2022-12-27 10:46:18+00:00,"@PaystackSupport @paystack kindly assist with a reference for this Mkopa bill payment transaction. 
Mkopa is saying they haven't the payment 
IBRAHIM NASIRU 
7040394384

7548915795
Wema Bank 
Paystack Checkout 
Transaction date: 19th December, 2022 at about 10:33 https://t.co/uO01H1OeFM"
Bhupend18846310,2022-12-27 10:45:06+00:00,@MCA21India @nsitharamanoffc @PMOIndia bank a/c debited on 20/12/2022 but transaction of Rs 25731 failed against SRN M27566112 for conversion of ltd co. into LLP. MCA V3 Portal still showing to pay fee. Ticket raised vide FO_20221222350101 &amp; FO_20221224354423 but not yet resolved
AxisBankSupport,2022-12-27 10:43:37+00:00,"@Agarvikas our executives will never ask you to initiate any financial transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank.
 https://t.co/S8xhHTXwG7 (2/2)"
5e9cb7cab7a6436,2022-12-27 10:41:53+00:00,Since October 12th 2022 I have been constantly requesting for my refunds of a flight ticket that wasn't used and till now @qatarairways has been telling me stories. They said my Indian bank asked them to do the transaction offline. I have supplied my details several times.
HDFCBank_Cares,2022-12-27 10:39:57+00:00,"@Nagma11314677 Hi Nagma, let us look into it for you. Please click on https://t.co/SdrZZpXBur and share your complete concern along with transaction details. Please mention reference number TW27122258149 along with the requested details for us to help you with the solution. -Anay, Service"
SARBOJITROY96,2022-12-27 10:36:12+00:00,Indian Banks and financial systems are going crazy these days. UPI payments limited. Bank transaction limited. Cash withdrawal limited. Other bank ATM withdrawal only four times a month. Karna kya chahte ho?? @FinMinIndia @RBIsays @RBI
cmonionline,2022-12-27 10:32:58+00:00,"@keystonebankng I am only receiving the alert for a transaction of the 13th today..2 weeks later..a joke of a bank really but it ends this year.
@cenbank @fccpcnigeria https://t.co/HvUkGCGbOS"
Precious_Amaobi,2022-12-27 10:29:21+00:00,"The daily transaction limit as I see on my bank app is N1,000,000.00. I don't understand why a 150,000 transaction will be a problem. How do you guys want me to function without money this season??? 😒 Please I need a response ASAP. @FBN_help"
Precious_Amaobi,2022-12-27 10:26:46+00:00,"@FBN_help Good morning. Yesterday, my account was working perfectly fine until I was sent a 150,000 naira. I wanted to withdraw, I was told invalid transaction. Tried to transfer, my account was no longer on my bank app showing till now. Used USSD, still didn't work..."
raw_sunday,2022-12-27 10:24:53+00:00,"@Zenithbank_87 

These are fraudulent people and not zenith bank, do not carry out any transaction with them."
Zuhaibbutt1982,2022-12-27 10:24:53+00:00,"@jazzpk I made a transaction of 42k from jazzcash to my bank account around 12 today and I haven't received the payment till now. Called the helpline and they said to wait for 3 working days pathetic service. This will be the last time i have used jazzcash, really disappointed"
cc_krproxy,2022-12-27 10:19:25+00:00,"[ 💿 ] ITZY &lt; CHESHIRE &gt; fan signing event 

✔️application

13,400each 
Proxy Fee: Total +$2 per checkout (❌per item) 

✨Korea Website Proxy Purchase 
🚚 To your KR address only 

💵 1 USD = 1,100 KRW
(Transaction below 99,999 KRW + $2) https://t.co/LVEqMnUEDZ"
paytmbankcare,2022-12-27 10:16:53+00:00,"@Rahul21396727 Hi Rahul, your UPI transaction of Rs. 487 for UPI reference number 2XXXX5412 on 16 Dec 2022 has failed. Your refund has been successfully processed on 26 Dec 2022. Same will be reflected in your Paytm app passbook in 2 bank working days. (1/2)"
cc_krproxy,2022-12-27 10:15:56+00:00,"💝EVERLINE X MOON BYUL LUCKY DRAW EVENT 

✨Korea Website Proxy Purchase 
🚚 To your KR address only 

14,900 krw each 
Proxy fee: +$2 of total per checkout 

💵 1 USD = 1,100 KRW
➡️ Proxy fee: +$2 per checkout
(Transaction below 99,999 KRW + $2) https://t.co/JgOtcpWj9d"
NyakwebaPablo,2022-12-27 10:13:44+00:00,"@LemonadeFinance transaction ref no. 430fe21d-b398-41fa-9f21-7fd4700ab478
68799e53-aac5-4db7-aa40-f3e550e601cf
5838ae92-1370-4c4d-805c-019a465c3cda
5838ae92-1370-4c4d-805c-019a465c3cda
Never received to the recipient bank"
paytmbankcare,2022-12-27 10:13:02+00:00,"@Sandeep13873536 Hi Sandeep, kindly share the Paytm order/ transaction id along with your registered mobile number via DM so that we may assist you in a better way. Thanks! https://t.co/BEb65hc2Id"
UCOBankOfficial,2022-12-27 10:09:23+00:00,"@BRAJESH79016339 Thank you for reaching us,  please login to on line grievance- https://t.co/3g89vh0CV9  or share us the Complaint details by DM  along with your Transaction,Account &amp; contact details for taking up the issue with concerned department."
NyakwebaPablo,2022-12-27 10:06:13+00:00,"@LemonadeFinance transaction ref no. 430fe21d-b398-41fa-9f21-7fd4700ab478
68799e53-aac5-4db7-aa40-f3e550e601cf
5838ae92-1370-4c4d-805c-019a465c3cda
5838ae92-1370-4c4d-805c-019a465c3cda
Never received to the recipient bank https://t.co/3TjjEZ8aBw"
mizaleezah,2022-12-27 10:05:42+00:00,"@accessbank_help Hi, pls I made a transaction to a kuda bank account on 26th of last month and the receiver has not gotten it. Pls look into it. I am in ur DM now."
_thecaretaker,2022-12-27 10:05:19+00:00,"@arcadeclubuk Hi, we booked and paid for 27/12 on 1/12 but can't find a confirmation email, we have the bank transaction. Will Blackpool be able to find us with our personal details?"
AxisBankSupport,2022-12-27 10:00:09+00:00,"@pnkthealien Hi Qabir, we understand the inconvenience you may have faced. Please DM us your registered contact number and we will get back at the earliest. Also please note, as part of the resolution process, our executives will never ask you to initiate any financial transaction or (1/2)"
Do_syke,2022-12-27 09:55:01+00:00,"@EmmanuelEmmzy74 @FirstBankngr @JayluvOpeyemi Bro, @FirstBankngr is one of the most incompetent banks in Nigeria today.

I have a hanging transaction since yesterday. Until now the best I have gotten from them is a DM asking me to be patient while they check....18 hours later.

If you have an account with First Bank, sorry"
sunkay90,2022-12-27 09:53:14+00:00,"My bank account has recorded zero debit transaction since I got to my parent house, been eating and drinking at free will home sweet home. Shey I no go remain here bayi"
EminimoChantell,2022-12-27 09:49:23+00:00,"@UNIONBANK_NG This withdrawal was made at a POS point on the 24th, December, 2022. The Transaction declined (As shown failed on the Recipe here) but he account was debited. 
I beseech you to kindly refund. Thanks. 
Details  are Acct no:0148741154 bank:Union bank. Mercy Elijah."
AxisBankSupport,2022-12-27 09:48:47+00:00,"@MaheshBhatt2016 Hi Mahesh, we regret the inconvenience caused and are open to help you! Please DM us your contact number and we will get back at the earliest. Also please note, as part of the resolution process, our executives will never ask you to initiate any financial transaction or (1/2)"
paytmbankcare,2022-12-27 09:44:39+00:00,"@RabishankarBag May we suggest you to contact your UPI payment service provider, quoting your UPI reference number and find the final transaction status. In case your transaction fails, money would be added back to your account within 2 working days from the date of transaction (2/2) https://t.co/BEb65hc2Id"
ugichapla,2022-12-27 09:42:03+00:00,"The bank transaction statements especially in Excel format are designed in such a way that,  the customer should not opt for that particular format in future again."
myaccessbank,2022-12-27 09:37:59+00:00,"@Rexxy887 Hello @Rexxy887, Thank you for reaching out. Kindly provide your account number, transaction amount and date via DM to enable us assist further. ^Jessy"
cc_krproxy,2022-12-27 09:37:46+00:00,"#ITZY &lt;#CHESHIRE&gt; SPECIAL EDITION ONLINE LUCKY DRAW EVENT OPEN!

10,400won each + 5,000 Makestar shipping 

Proxy fee + $2 per checkout 

✨Korea Website Proxy Purchase 
🚚 To your KR address only 

💵 1 USD = 1,100 KRW
(Transaction below 99,999 KRW + $2) https://t.co/XvbjxRSfqM"
AshleyC03454112,2022-12-27 09:37:33+00:00,"Patuloy ang pamimigay ng AYUDA kay EWIN BET!
♨️EWINBET♨️
🔥Newest &amp; Hottest Online Casino🔥
🔊 Free Registration
🔊 Fast Transaction 2-5 minutes.
🔊 24/7 Customer Service.
🔊 Self Cash In/Out ,GCASH, or BANK ACCOUNT anytime💸
I Click lang ang link:
https://t.co/tIaTAKHQat https://t.co/mKk0doggjr"
AxisBankSupport,2022-12-27 09:37:14+00:00,"@MusadiqueAhmed4 transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank. https://t.co/S8xhHTXwG7 (2/2)"
harribeinghuman,2022-12-27 09:37:11+00:00,"@Paytm Worst customer care service its been 3 months i'm facing KYC issue, not been able to complete, i never faced this issue with any bank even, 

i do lot of transaction in Paytm still my KYC verification is pending, 
never recommended paytm to anyone,"
EminimoChantell,2022-12-27 09:35:23+00:00,"This withdrawal was made at a POS point on the 24th, December, 2022. The Transaction declined (As shown failed on the Recipe here) but he account was debited. 
I beseech you to kindly refund. Thanks. 
Details  are Acct no:0148741154 bank:Union bank. Mercy Elijah. Thanks. https://t.co/P02jHf2uz7"
yomiakinnola,2022-12-27 09:32:44+00:00,"@JohnOlonade1 @biodun_alao @myaccessbank Court Order doesn't work that way
Unless it is an erroneous transaction. If not, they will have to meet the beneficiary bank and Yadayadayada"
Candy_prince01,2022-12-27 09:32:06+00:00,"If you're in doubt, find out by requesting for your account statement.
Don't forget the bank had already laid off and reduced number of staff due to self service banking system and also more customers don't have to visit banking hall for transaction again."
IdjelebaU,2022-12-27 09:31:20+00:00,@ZenithBank what’s happening to this bank you guys should reverse my money naa since last week Friday.. I did a transaction using @Shoprite_NG Pos machine I was debited and the receipt given to me was declined m pls respond to me..
myaccessbank,2022-12-27 09:31:07+00:00,"@dayiojenu Hello @dayiojenu, Thank you for reaching out. I apologize about any inconvenience this has caused you. Kindly provide your account number, transaction amount and date via DM to enable us assist further. ^Jessy"
Candy_prince01,2022-12-27 09:30:33+00:00,"To my amazement, the bank deducted the following on that transaction!
1. #53 transfer charges.
2. #100 Postal STAMP duty.
3. #6.98 VAT.
4. #76 SMS alerts charges.
5. #93.13 account maintenance charges."
wellbodymind,2022-12-27 09:30:29+00:00,"Four #Russian banks (#VTB, #Novikombank, Sovcombank, and Otkritie Bank) are now subject to a complete transaction ban, in the orm of an asset freeze. Take a look 😁 #putin fans fighting for cash 💸 
Ну шо, Крым чей?  #RussiaIsCollapsing #RussianBankPanic #RussianBankRun https://t.co/uOqtQQcr4N"
Coopbankenya,2022-12-27 09:30:12+00:00,@hingittah Hello. Kindly share the transaction details via DM so we can follow up and advise. ^WK
Candy_prince01,2022-12-27 09:27:20+00:00,"4. Transfer charges
5. Postal STAMP DUTY charges
6. Weekend charges.
Now, the Apex bank, Oga patapata boss introduced a CASHLESS ECONOMY whereby everyone does not need to carry cash for any transaction."
amiirul_mey,2022-12-27 09:26:53+00:00,"@_bankislam Hello, bank. Islam , I would like to make a complaint about my transaction. On 26/12/2022 at 10pm, I made a transaction by duit now transfer for 58.00, which apparently failed, but the money was also deducted by the bank from my personal saving account."
ablows,2022-12-27 09:26:50+00:00,"Staggering amount of evidence

-personal request to activate an HSBC account 
-complicating a simple Bank transaction
-layering of translations
-withholding positive ‘evidence’ for no reason
-holes in witness’s story
-speed of approval of island and 1M transaction

#ShellShock https://t.co/UeY91wAdo7"
paytmbankcare,2022-12-27 09:26:02+00:00,"@Robogametester Hi, we are glad you reached out to us here. Your transaction of Rs. 150 for UPI reference ID 2XXXX5158 was successfully processed on 07 Dec 2022. We suggest you to check with the receiver for confirmation regarding the amount receival (1/3)"
AxisBankSupport,2022-12-27 09:25:19+00:00,"@sarbulandkhan2 Hi, we understand the inconvenience you may have faced. Please DM us the details of your concern and we will get back at the earliest. Also please note, as part of the resolution process, our executives will never ask you to initiate any financial transaction or download (1/2)"
cc_krproxy,2022-12-27 09:24:15+00:00,"Service open now 🤗

✔️ Korean Bank Transfer 
✔️ Korea Website Proxy Purchase 
✨ USD to KRW only 
➡️ Payment mode: WISE / PAYPAL (f&amp;f)
💵 1 USD = 1,100 KRW
(Transaction below 99,999won + $2)

https://t.co/uLUyMJCDIj"
Divinegraces2,2022-12-27 09:15:47+00:00,"@cenbank Well, be informed that ATM still dispenses the old naira note. Infact, the new naira note is not in circulation. That aside, @cenbank should look into financial institutions. Our savings is no longer safe in the bank. @UBAGroup is claiming a failed transaction was successful."
AxisBankSupport,2022-12-27 09:15:03+00:00,"@kediaankit777 transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank. https://t.co/S8xhHTXwG7 (2/2)"
AxisBankSupport,2022-12-27 09:12:18+00:00,"@alampanahwaris Hi, we are here to assist you. Please DM us your registered contact number and we will get back at the earliest. Also please note, as part of the resolution process, our executives will never ask you to initiate any financial transaction or download any app or part with (1/2)"
bankofmaldives,2022-12-27 09:09:39+00:00,"@zafraschyd Hi. In cases where a merchant is compromised for any reason, our customers are fully protected and will not face any financial loss. We require a transaction dispute form to further look into this. Please submit the dispute form and let us know."
MissChardonnae,2022-12-27 09:08:04+00:00,Y’all 😂 that bank transaction just saved my life.
SamwarJ,2022-12-27 09:07:38+00:00,"@bankofbaroda A refund should be recieved in my account my now. According to the other bank they have done the process. Kindly check the transaction if it is pending via RRN - rfnd_Kv0fB3vIQZEFVS

Amount of 4k was debited a week ago and it is not still crediting in my BOB account https://t.co/3hsJ7VkW5D"
Bnjibreel1,2022-12-27 09:04:11+00:00,"I sent the money from my zenith bank to my PalmPay and the transaction wasn’t successful, but I was debited. I called them several times but they could not provide me with a solution, eventually I called this morning and I was told by their representative that the transaction was"
folleycoal,2022-12-27 08:59:49+00:00,@Mrbankstips I tried crediting my acct last night and transaction was rejected. Bet acct not credited and my bank acct remains debited
Jewel2Jade,2022-12-27 08:59:47+00:00,@wemabank I would like to the know the status of the transaction I did on the 15th of December. Did my money go through to Justrite or stucked in your bank. Your customer service has not been helpful. https://t.co/llUMl2ySKA
AxisBankSupport,2022-12-27 08:56:54+00:00,"@rg_rishigaba Hi Rishi, we are here to assist you. Please DM us your registered contact number and we will get back at the earliest. Also please note, as part of the resolution process, our executives will never ask you to initiate any financial transaction or download any app or part (1/2)"
imp213x,2022-12-27 08:56:16+00:00,"Please no Birthday wishes for me from any Nigerian bank, @gtbank_help just lift your darn restrictions on my account. I no want una birthday wishes. Nor be everybody de celebrate birthday Biko. Na me do transaction last night. Thank you for your services."
cedanewsgh,2022-12-27 08:55:26+00:00,"Bank of Ghana raises Mobile Money transaction limit https://t.co/xVOMDiQU8M

#cedanews"
mosh_money,2022-12-27 08:53:58+00:00,"@cenbank @cenbank @kudahelp_ng  Hello
I woke up to several transaction on my @joinkuda bank app and I didn't sanction any of the transfers, while three were reversed, the two conducted this morning weren't reversed please help fasten up the reversal thanks. 2011**3739 act no."
TshumaAviator,2022-12-27 08:52:17+00:00,@HotRechargeZim Hie how do you top up your Hot reacharge account using Bank transaction
paytmbankcare,2022-12-27 08:50:16+00:00,"@nt9703376 Hi Nikhil, please share the query reference no. (if any)/ registered mobile number along with the transaction screenshot via DM so that we may assist you in a better way. Thanks! https://t.co/BEb65hc2Id"
MOHDABUHAMAM10,2022-12-27 08:50:02+00:00,"PJSC VTB Bank has finalized the 340 billion rubles ($4.9 billion) transaction to acquire the bailed-out PJSC Bank FC Otkritie, the Bank of Russia confirmed on Tuesday. Russia's central bank had taken...

See more on https://t.co/RzEDgivVui"
AxisBankSupport,2022-12-27 08:49:11+00:00,"@inclinedstudio initiate any financial transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank. https://t.co/S8xhHTXwG7 (2/2)"
MTNRwanda,2022-12-27 08:46:45+00:00,"@Nyashya_ya_baba Y'ello @Nyashya_ya_baba, Good morning,
You have our deepest apologies for the inconveniences, kindly provide us with your MOMO account number, your bank account number, amount and transaction date for further assistance.

Thank you,
MTN-Parfait"
SheriffOyewoleA,2022-12-27 08:45:39+00:00,"you failed to attend to the very fundamental issues of not receiving value for a transaction.

Access bank
It's been over a month now!
Guessing the next thing is to tab CBN on this..... https://t.co/GUTt7RDMzK"
SheriffOyewoleA,2022-12-27 08:45:36+00:00,$882.49 for POS failed transaction. Common access bank you can do better
DanCremar,2022-12-27 08:45:11+00:00,"Hey N26, ""thanks"" for ruining my Christmas, you SUCK just like any other OLD bank.
My transaction since December 21st is not even now, on 27th, processed. This is an UNACCEPTABLE BEHAVIOR !!!

A source of funds should not be used as an excused to delay tr…https://t.co/ZWwUnV1YQV"
broFunsho,2022-12-27 08:32:44+00:00,@palmpay_ng I tried to make a pos withdrawal from one of your merchant Saturday but the transaction was declined and my money hasn’t been reversed till now to my bank. Kindly help out
engineer08147,2022-12-27 08:32:09+00:00,"@UNIONBANK_NG Yesterday I went to two different POS for withdrawal, the transaction was declined but I was debited  N3000 from all the two POS channels first bank and money point, please come to my aid @UNIONBANK_NG"
paytmbankcare,2022-12-27 08:21:54+00:00,"@sahilku70615996 Hi Sahil, kindly share the Paytm order/ transaction id along with your registered mobile number via DM so that we may assist you in a better way. Thanks! https://t.co/BEb65hc2Id"
StarTimes_Ng,2022-12-27 08:19:43+00:00,"@Itzvictor_o We sincerely apologize for the inconvenience.
 Please be informed that the transaction of 24th Dec was not successful as your account was not subscribed on said date. Please contact your bank to request for reversal, if the transaction is yet to be reversed.
 Thank you"
she__reigns,2022-12-27 08:14:14+00:00,"@csmnig please help me tell @ZenithBank  to return the money they deducted from my account for a failed airtime transaction.
If this isn't stealing, I don't know what else to call it. This is the most annoying bank in Nigeria's history. Always stealing from your customers!"
iliazintchenko,2022-12-27 08:11:58+00:00,@sama personalization based on bank transaction history is the next step after browsing history
captainbaloh,2022-12-27 08:10:36+00:00,"@kudahelp_ng Hi, a failed P.O.S transaction occurred via shopping but i was debited but the surprising part of it, is that till this moment, the debit alert hasn’t reflected in my transaction history neither in my bank statement."
AxisBankSupport,2022-12-27 08:04:22+00:00,"@losVegas01 transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank. https://t.co/S8xhHTXwG7 (2/2)"
reisarus,2022-12-27 08:03:33+00:00,@himerulover It may not fully apply it to your account until the transaction has cleared the bank and is confirmed…which won’t happen at 2AM AHSHDH you may need to give it 24-48 hrs bc they wanna verify the payment doesn’t bounce
DanielUgande,2022-12-27 08:01:01+00:00,"@fcmb__help The transaction was carried out from a @joinkuda card. That form is asking me to enter my bank details. I don't have an account with you. I appreciate your willingness to help. Why is kuda not showing that same willingness, since they are the originating bank?"
HDFCBank_Cares,2022-12-27 07:59:40+00:00,"@pankajshukl Or Credit card used for doing the transaction
2. Transaction Date and Amount
3. Date and Amount refunded by the Merchant
4. Mode of refund (NEFT/IMPS/UPI etc.) used by the Merchant
5. Refund reference number and invoice number, if any available mentioning sender bank details
6."
StarTimes_Ng,2022-12-27 07:56:34+00:00,"@world_winning We sincerely apologize for the inconvenience this may have caused you.
 Please be informed that the transaction was not successful as your account is yet to be subscribed.
 Kindly contact your bank to request for reversal, if the transaction is yet to be reversed.
 Thank you"
StarTimes_Ng,2022-12-27 07:55:47+00:00,"@world_winning We sincerely apologize for the inconvenience this may have caused you.
 Please be informed that the transaction was not successful as your account is yet to be subscribed.
 Kindly contact your bank to request for reversal, if the transaction is yet to be reversed.
 Thank you"
StarTimes_Ng,2022-12-27 07:55:34+00:00,"@world_winning @AmcChannel We sincerely apologize for the inconvenience this may have caused you.
 Please be informed that the transaction was not successful as your account is yet to be subscribed.
 Kindly contact your bank to request for reversal, if the transaction is yet to be reversed.
 Thank you"
burtbritany,2022-12-27 07:55:28+00:00,@bankofgha Educate the public to do their USD Transactions through the bank to their business partners abroad instead buying USD and depositing same into their dollar accounts for transaction. The generation of IMPORT DECLARATIONS with their invoices is simple through their agents.
SLImchiGGY,2022-12-27 07:51:44+00:00,"It's been 10 days and my transaction hasn't been reversed @vbankng. Really don't care whether there were public holidays in between. Kuda reverses the same day unfailingly. If not that my Kuda card got missing, I wouldn't be in this position. I'm done with your bank after this."
josholuwadara,2022-12-27 07:46:36+00:00,@ecobank_nigeria @cenbank return my money back to my account if you say the transaction failed. I have waited for 24hrs or are you guys waiting for @cenbank to regulate your bank all the time.
AxisBankSupport,2022-12-27 07:43:16+00:00,"@shonalit7 Hi, we regret the inconvenience caused and are open to help you! Please DM us your registered contact number and we will get back at the earliest. Also please note, as part of the resolution process, our executives will never ask you to initiate any financial transaction (1/2)"
TheOfficialSBI,2022-12-27 07:39:56+00:00,"@RizviSayyed1 Please clarify the mode of transaction used by you, Debit card/Credit card/UPI/Yono/Yono Lite or Internet banking. We will be happy to assist you. https://t.co/mSYcXr4Lrb"
ObinnaAdili,2022-12-27 07:37:37+00:00,"@ZenithBank
Good morning
I wanted to withdraw from pos agent but the transaction was declined and which the amount was deducted and it has not been reversed

Here is my account details
2749314279
Zenith Bank
Obinna Adili https://t.co/mZEjdIqYbD"
daironofiu,2022-12-27 07:36:59+00:00,"@cenbank pushing for cashless without fixing the issue of network and transaction failure is just to add more to our suffering. I transferred fund from @PolarisBankLtd account since 4days now, beneficiary did not receive fund and the bank hasn't refund."
Orangutanoffic2,2022-12-27 07:36:00+00:00,"@MrrFanda எங்க வூட்டம்மா ரொம்ப விவரம்.. ஏன் card use panni அவங்களுக்கு வாங்குராங்க.. 
அதுக்கூட Bank transaction பார்த்து கேட்டதான் பதில் வருது.. https://t.co/jaJdAVcndF"
nanjian14,2022-12-27 07:34:55+00:00,Bank of China Publishes Patents Related to Metaverse Payment and Digital Currency Transaction Control
olamusconsult77,2022-12-27 07:34:35+00:00,@heritagebankplc are the worst bank in Nigeria.. taking over 4 days and counting to credit a transaction
EjehTrade,2022-12-27 07:29:28+00:00,"@kudahelp_ng this is the third transaction am reporting and nothing has been done about it, am tired, no reversal and receiver bank said no money we received. And as usual not getting reply from Kuda. Becoming very frustrating https://t.co/T0RrF7ASU1"
sunausarkar,2022-12-27 07:22:33+00:00,"@drm_lko @Rudauli1 @RailMinIndia @GM_NRly @IR_CRB @SrDOMLKO @CPO_NR @SRDPONRLKO @pcomnr @RailwayNorthern @pccm_nr @raosahebdanve @raosaheboffice @AshwiniVaishnaw @DarshanaJardosh @narendramodi @Railwhispers @RailSamachar @himanshut704 @manishsNBT @RailwayMst @drmlko25gmailc1 @PMOIndia @cabsect_india @tnmishra111 @DoptSecretary @SureshBJoshi @DattaHosabale @HMOIndia @DoPTGoI @AshwiniUpadhyay @RSSorg @SpokespersonIR @IR_EDCHG @CVCIndia @IR_EDTNC @IR_ENHM @IR_MTFC @DrMohanBhagwat सर्द मौसम में प्रातः व शाय: काल लखनऊ से अयोध्या कैंट के मध्य छोटे - बड़े 16 स्टेशनों से यात्रा करने वाले जनसामान्य के सम्मुख आवागमन में अत्यंत विकट स्थिति उत्पन्न है?

@drm_lko @GM_NRly 
@IR_CRB @RailMinIndia 
@SrDOMLKO @CPO_NR 
@SpokespersonIR @pcomnr 
@cabsect_india @PMOIndia https://t.co/ajcBrvXO3Z"
